gameId,teamId,teamTricode,teamName,fieldGoalsMade,fieldGoalsAttempted,threePointersMade,threePointersAttempted,freeThrowsMade,freeThrowsAttempted,reboundsOffensive,reboundsDefensive,reboundsTotal,assists,steals,blocks,turnovers,foulsPersonal,points,plusMinusPoints,quarter,finalPoints
22201212,1610612747,LAL,Lakers,11,22,5,8,3,4,0,12,12,6,0,3,3,2,30,-4.0,1.0,121.0
22201212,1610612756,PHX,Suns,15,31,2,7,2,2,4,12,16,7,2,3,0,2,34,4.0,1.0,107.0
22201212,1610612747,LAL,Lakers,23,48,10,18,5,7,2,21,23,15,3,5,6,6,61,-1.0,2.0,121.0
22201212,1610612756,PHX,Suns,24,57,6,18,8,8,8,23,31,13,4,6,4,5,62,1.0,2.0,107.0
22201212,1610612747,LAL,Lakers,36,72,14,26,10,12,7,31,38,21,5,5,11,8,96,7.0,3.0,121.0
22201212,1610612756,PHX,Suns,35,80,8,24,11,11,9,28,37,18,6,9,6,9,89,-7.0,3.0,107.0
22201038,1610612745,HOU,Rockets,13,24,2,8,3,4,5,9,14,6,2,1,1,5,31,12.0,1.0,114.0
22201038,1610612747,LAL,Lakers,7,18,2,9,3,4,2,4,6,3,0,1,5,3,19,-12.0,1.0,110.0
22201038,1610612745,HOU,Rockets,27,50,3,15,5,7,9,19,28,13,3,2,5,14,62,14.0,2.0,114.0
22201038,1610612747,LAL,Lakers,14,42,4,19,16,19,6,11,17,6,3,1,6,7,48,-14.0,2.0,110.0
22201038,1610612745,HOU,Rockets,37,74,4,23,5,7,14,27,41,18,5,3,10,17,83,9.0,3.0,114.0
22201038,1610612747,LAL,Lakers,25,67,7,30,17,20,8,18,26,13,5,3,8,8,74,-9.0,3.0,110.0
22201008,1610612737,ATL,Hawks,16,24,2,8,4,4,2,10,12,8,0,1,3,3,38,1.0,1.0,125.0
22201008,1610612738,BOS,Celtics,15,29,6,11,1,2,3,6,9,8,2,0,0,4,37,-1.0,1.0,134.0
22201008,1610612737,ATL,Hawks,25,47,5,16,6,6,2,18,20,16,3,2,4,8,61,-10.0,2.0,125.0
22201008,1610612738,BOS,Celtics,28,51,12,24,3,4,3,19,22,18,2,2,3,8,71,10.0,2.0,134.0
22201008,1610612737,ATL,Hawks,37,74,7,27,8,8,8,29,37,20,3,3,7,12,89,-12.0,3.0,125.0
22201008,1610612738,BOS,Celtics,38,74,16,34,9,10,4,27,31,26,4,3,3,13,101,12.0,3.0,134.0
22200015,1610612755,PHI,76ers,9,22,3,5,3,5,4,8,12,5,2,0,2,2,24,-6.0,1.0,88.0
22200015,1610612749,MIL,Bucks,12,21,5,11,1,1,1,10,11,8,1,3,3,5,30,6.0,1.0,90.0
22200015,1610612749,MIL,Bucks,18,39,9,22,2,3,1,20,21,14,1,4,7,8,47,2.0,2.0,90.0
22200015,1610612755,PHI,76ers,19,43,4,11,3,5,5,19,24,9,3,1,5,5,45,-2.0,2.0,88.0
